"replication","weight","speed","cspeed","surface_roughness"
2,0.35,2,"medium",472.684355736327
3,0.35,2,"medium",488.55382681863
1,0.375,2,"medium",476.26436331086
2,0.375,2,"medium",465.384545012876
3,0.375,2,"medium",475.266802929629
1,0.4,2,"medium",458.837047352933
2,0.4,2,"medium",472.573247115886
3,0.4,2,"medium",477.505974445495
1,0.425,2,"medium",475.63739249974
2,0.425,2,"medium",471.597591770647
3,0.425,2,"medium",480.140738519323
1,0.45,2,"medium",483.291186899189
2,0.45,2,"medium",463.446622932997
3,0.45,2,"medium",475.708770268617
1,0.475,2,"medium",457.190411219822
2,0.475,2,"medium",460.373928478054
3,0.475,2,"medium",467.274013770502
1,0.5,2,"medium",441.718694924711
2,0.5,2,"medium",453.170616145713
3,0.5,2,"medium",459.857974516776
1,0.025,3,"high",121.833003836681
2,0.025,3,"high",142.082399264258
3,0.025,3,"high",136.424968540269
1,0.05,3,"high",141.917178695282
2,0.05,3,"high",137.873327837867
3,0.05,3,"high",128.573686401051
1,0.075,3,"high",139.25838301557
2,0.075,3,"high",130.474033324991
3,0.075,3,"high",134.74613750748
1,0.1,3,"high",126.55736781877
2,0.1,3,"high",143.242868315828
3,0.1,3,"high",120.74976721553
1,0.125,3,"high",138.257673321971
2,0.125,3,"high",123.541298189753
3,0.125,3,"high",123.254315959742
1,0.15,3,"high",122.89427241752
2,0.15,3,"high",118.643478821458
3,0.15,3,"high",124.298436211717
1,0.175,3,"high",124.207642574457
2,0.175,3,"high",111.508289909404
3,0.175,3,"high",115.93476034326
1,0.2,3,"high",115.674429592874
2,0.2,3,"high",120.670401628691
3,0.2,3,"high",110.185954368642
1,0.225,3,"high",98.1073247799845
2,0.225,3,"high",111.673795283829
3,0.225,3,"high",109.089864837773
1,0.25,3,"high",112.917455072607
2,0.25,3,"high",105.356730274095
3,0.25,3,"high",107.88012952783
1,0.275,3,"high",97.9917152584701
2,0.275,3,"high",96.145377793814
3,0.275,3,"high",115.492990829317
1,0.3,3,"high",94.9479834868584
2,0.3,3,"high",109.466390895123
3,0.3,3,"high",96.3721633963254
1,0.325,3,"high",104.137936442693
2,0.325,3,"high",107.059629413939
3,0.325,3,"high",101.206187284173
1,0.35,3,"high",122.192225822099
2,0.35,3,"high",112.856567726782
3,0.35,3,"high",101.229856867542
1,0.375,3,"high",99.473413783907
2,0.375,3,"high",85.4309391019976
3,0.375,3,"high",105.091035720196
1,0.4,3,"high",90.1408357117623
2,0.4,3,"high",81.4393163413912
3,0.4,3,"high",91.6850584113476
1,0.425,3,"high",77.0302313360584
2,0.425,3,"high",98.3687185628422
3,0.425,3,"high",84.5856931271001
1,0.45,3,"high",93.7633448662634
2,0.45,3,"high",76.2790720747248
3,0.45,3,"high",92.3110640504997
1,0.475,3,"high",77.706228266463
2,0.475,3,"high",88.3166968990011
3,0.475,3,"high",94.1192555808116
1,0.5,3,"high",69.8945215793221
2,0.5,3,"high",78.8103555326684
3,0.5,3,"high",83.7308830533526
